
Trial Number	Parking Block Id	Time to Reach Parking Block	Parking Block Location	User's Location
9	585092	1	37.8055461678,-122.4221474552	37.805531,-122.422041
2	585092	320	37.8055461678,-122.4221474552	37.783827,-122.43723
1	585012	152	37.8072188694,-122.4090052303	37.795752,-122.39434
4	585092	176	37.8055461678,-122.4221474552	37.807319,-122.436905
3	585092	574	37.8055461678,-122.4221474552	37.756042,-122.423314
6	585092	27	37.8055461678,-122.4221474552	37.80559,-122.417857
5	585092	15	37.8055461678,-122.4221474552	37.805836,-122.419606
8	585092	24	37.8055461678,-122.4221474552	37.804412,-122.422996
7	326052	6	37.8071031986,-122.4174351237	37.807015,-122.417964
29	325041	17	37.8055280628,-122.4137316435	37.805362,-122.415765
20	585092	21	37.8055461678,-122.4221474552	37.804709,-122.42099
27	325041	20	37.8055280628,-122.4137316435	37.805302,-122.416194
28	326052	40	37.8071031986,-122.4174351237	37.804378,-122.416054
25	585092	23	37.8055461678,-122.4221474552	37.804438,-122.422953
26	585092	48	37.8055461678,-122.4221474552	37.804124,-122.418061
23	585092	28	37.8055461678,-122.4221474552	37.804904,-122.419316
24	326071	8	37.8065670891,-122.4206920137	37.806557,-122.42143
21	585092	14	37.8055461678,-122.4221474552	37.805819,-122.419767
22	585092	34	37.8055461678,-122.4221474552	37.803539,-122.419949
19	585092	27	37.8055461678,-122.4221474552	37.805616,-122.417878
18	585092	38	37.8055461678,-122.4221474552	37.803988,-122.419316
14	585092	6	37.8055461678,-122.4221474552	37.805082,-122.421966
15	585092	28	37.8055461678,-122.4221474552	37.804912,-122.419391
16	585092	22	37.8055461678,-122.4221474552	37.804785,-122.425195
17	585092	38	37.8055461678,-122.4221474552	37.805133,-122.417975
10	585092	23	37.8055461678,-122.4221474552	37.804751,-122.420743
11	585092	19	37.8055461678,-122.4221474552	37.804277,-122.421773
12	585092	28	37.8055461678,-122.4221474552	37.804929,-122.419391
13	585092	47	37.8055461678,-122.4221474552	37.803683,-122.42085
80	847001	5	37.8085375176,-122.4127710722	37.808579,-122.412308
70	616241	73	37.8068728626,-122.412239992	37.802026,-122.411849
71	585022	89	37.807015691,-122.4106376987	37.801958,-122.40789
74	585092	92	37.8055461678,-122.4221474552	37.797372,-122.418715
75	585092	109	37.8055461678,-122.4221474552	37.7961,-122.420829
72	585022	74	37.807015691,-122.4106376987	37.804459,-122.406785
73	585092	77	37.8055461678,-122.4221474552	37.798813,-122.422127
78	616241	126	37.8068728626,-122.412239992	37.797474,-122.409918
79	616241	175	37.8068728626,-122.412239992	37.79365,-122.411237
76	585092	181	37.8055461678,-122.4221474552	37.790878,-122.418522
77	585092	118	37.8055461678,-122.4221474552	37.798161,-122.412428
69	585092	69	37.8055461678,-122.4221474552	37.802213,-122.418007
66	585092	73	37.8055461678,-122.4221474552	37.80251,-122.415808
65	325041	23	37.8055280628,-122.4137316435	37.804082,-122.413308
68	585022	84	37.807015691,-122.4106376987	37.803645,-122.406828
67	585022	88	37.807015691,-122.4106376987	37.802077,-122.40789
62	325041	10	37.8055280628,-122.4137316435	37.805751,-122.41275
61	585022	35	37.807015691,-122.4106376987	37.805082,-122.410658
64	616241	28	37.8068728626,-122.412239992	37.80509,-122.411838
63	585041	3	37.8064715349,-122.4139016295	37.806625,-122.413265
60	616241	37	37.8068728626,-122.412239992	37.80487,-122.412428
59	616241	8	37.8068728626,-122.412239992	37.806726,-122.412943
58	585092	50	37.8055461678,-122.4221474552	37.803064,-122.418801
57	585092	52	37.8055461678,-122.4221474552	37.804285,-122.417074
56	585092	56	37.8055461678,-122.4221474552	37.803302,-122.418211
55	585092	39	37.8055461678,-122.4221474552	37.802742,-122.424756
54	585092	73	37.8055461678,-122.4221474552	37.801106,-122.421097
53	585092	46	37.8055461678,-122.4221474552	37.80231,-122.424487
52	585092	75	37.8055461678,-122.4221474552	37.802488,-122.416044
51	585092	48	37.8055461678,-122.4221474552	37.803912,-122.41834
50	585092	42	37.8055461678,-122.4221474552	37.802564,-122.42276
44	585092	51	37.8055461678,-122.4221474552	37.804192,-122.41776
43	325041	24	37.8055280628,-122.4137316435	37.804565,-122.414241
46	585092	67	37.8055461678,-122.4221474552	37.803293,-122.417052
45	585041	14	37.8064715349,-122.4139016295	37.806243,-122.416344
48	585092	81	37.8055461678,-122.4221474552	37.802123,-122.418554
47	585092	54	37.8055461678,-122.4221474552	37.804031,-122.426311
49	585092	63	37.8055461678,-122.4221474552	37.803234,-122.417503
40	585092	19	37.8055461678,-122.4221474552	37.804217,-122.421762
42	585092	56	37.8055461678,-122.4221474552	37.80303,-122.414788
41	585092	53	37.8055461678,-122.4221474552	37.804005,-122.416645
35	585092	75	37.8055461678,-122.4221474552	37.802284,-122.41732
34	585092	39	37.8055461678,-122.4221474552	37.803573,-122.422363
33	616241	49	37.8068728626,-122.412239992	37.803937,-122.412203
32	325041	21	37.8055280628,-122.4137316435	37.804802,-122.412889
39	326071	12	37.8065670891,-122.4206920137	37.805751,-122.4204
38	325041	22	37.8055280628,-122.4137316435	37.804633,-122.41407
37	325041	35	37.8055280628,-122.4137316435	37.80426,-122.415057
36	585092	58	37.8055461678,-122.4221474552	37.803471,-122.415743
31	585092	29	37.8055461678,-122.4221474552	37.804921,-122.419305
30	585092	6	37.8055461678,-122.4221474552	37.805056,-122.421945
